,Department,Difficulty,Hot,Number_Ratings,Score,Tag,Take_Again,pk_id
430,Education,1.6,0,9,4.2,Gives good feedback,N/A,649836
431,Health,1.6,0,9,4.2,,N/A,650317
432,Art,2.1,1,9,4.7,,N/A,656218
433,Theater,2.6,1,9,4.7,,N/A,660885
434,Theater,1.3,0,9,4.3,Caring,N/A,666522
435,Mathematics,3.2,0,9,3.9,Gives good feedback,N/A,678586
436,Psychology,2.7,0,9,3.6,Amazing lectures,N/A,700253
437,Engineering,3.1,0,9,4.5,EXTRA CREDIT,N/A,711768
438,English,3.4,0,9,3.5,,N/A,736263
439,Literature,4.2,0,9,3.8,Get ready to read,N/A,741282
440,Writing,2.3,1,9,4.4,,N/A,768402
441,Mathematics,2.7,0,9,3.3,Tough Grader,N/A,812618
442,Economics,4.2,0,9,2.8,,N/A,814318
443,Social,3.0,0,9,3.9,,N/A,817793
444,Anthropology,3.3,0,9,1.8,Tough Grader,N/A,1008458
445,Psychology,2.2,0,9,4.0,Get ready to read,N/A,1125302
446,Family,2.5,1,9,4.5,Gives good feedback,N/A,1129969
447,Geography,4.4,0,9,2.1,,N/A,1181789
448,Health,1.7,0,9,3.6,Skip class You wont pass,N/A,1203191
449,Communication,3.5,0,9,3.9,Get ready to read,N/A,1236261
450,Sociology,2.8,1,9,4.3,,N/A,1282871
451,Biology,4.6,0,9,2.8,Tough Grader,N/A,1330399
452,Statistics,3.0,0,9,3.2,Tough Grader,N/A,1349734
453,Languages,2.6,0,9,3.8,,N/A,1357365
454,Accounting,3.3,0,9,3.4,Gives good feedback,N/A,1357468
455,Chemical,3.8,1,9,4.1,Tough Grader,N/A,1363332
456,Philosophy,4.6,1,9,4.2,Get ready to read,N/A,1392079
457,Writing,2.0,0,9,3.8,Hilarious,N/A,1411004
458,Mathematics,3.3,0,9,1.8,,N/A,1439966
459,Health,3.6,0,9,2.3,Get ready to read,N/A,1448848
460,Communication,3.6,0,9,3.8,Respected,N/A,1455216
461,English,3.3,0,9,2.3,Get ready to read,N/A,1466586
462,Mathematics,4.0,0,9,2.6,,N/A,1478506
463,Sociology,1.9,1,9,5.0,Participation matters,N/A,1528061
464,Mathematics,4.8,0,9,1.3,Tough Grader,N/A,1550496
465,Communication,3.7,0,9,2.6,Get ready to read,N/A,1606371
466,Mathematics,2.3,0,9,4.6,LOTS OF HOMEWORK,N/A,1636076
467,Mathematics,2.4,0,9,3.9,Clear grading criteria,N/A,1649499
468,Mathematics,3.9,0,9,2.3,Tough Grader,N/A,1675034
469,Languages,2.7,0,9,3.9,Get ready to read,N/A,1678156
470,Humanities,3.6,0,9,2.6,Tough Grader,N/A,1735020
471,Writing,2.1,0,9,3.0,Skip class You wont pass,N/A,1757355
472,Computer,3.6,1,9,4.7,Respected,N/A,1757368
473,Mechanical,4.3,0,9,3.4,Tough Grader,N/A,1761823
474,Economics,2.8,1,9,4.2,Participation matters,N/A,1799154
475,Economics,2.6,0,9,4.0,Skip class You wont pass,N/A,1814041
476,Architecture,3.2,0,9,4.8,Caring,N/A,1859359
477,Languages,3.4,1,9,4.9,Gives good feedback,N/A,1870887
478,Health,3.6,0,9,3.2,Tough Grader,N/A,1874947
479,English,1.7,0,9,4.7,LOTS OF HOMEWORK,N/A,1950968
480,Philosophy,2.4,1,9,4.8,Clear grading criteria,N/A,1958104
481,Sociology,4.8,0,9,1.3,Tough Grader,N/A,2085131
482,Political,3.3,0,9,2.2,LOTS OF HOMEWORK,N/A,2092231
483,English,2.6,0,9,4.8,Gives good feedback,N/A,1771808
484,Physics,3.9,0,9,3.4,Tough Grader,N/A,1567744
485,Communication,3.4,1,8,4.4,,N/A,93493
486,Health,4.4,0,8,2.3,,N/A,209593
487,Mathematics,2.1,0,8,4.4,,N/A,261323
488,Computer,3.1,0,8,3.6,,N/A,261466
489,Nursing,3.6,1,8,5.0,,N/A,261536
490,Fine,2.4,0,8,3.8,,N/A,354635
491,History,3.1,0,8,4.5,,N/A,549983
492,History,3.8,0,8,3.8,,N/A,588539
493,Family,2.0,1,8,4.2,GROUP PROJECTS,N/A,609506
494,Mathematics,2.1,0,8,3.6,,N/A,649835
495,History,3.9,0,8,2.9,,N/A,653201
496,Anthropology,4.1,0,8,3.0,,N/A,658689
497,Psychology,3.3,0,8,3.9,Tough Grader,N/A,691801
498,Psychology,2.3,0,8,4.1,Get ready to read,N/A,691807
499,Humanities,3.5,0,8,4.4,Respected,N/A,704275
500,Chemistry,2.4,0,8,3.5,Hilarious,N/A,719478
501,Languages,2.0,1,8,4.1,,N/A,720735
502,Economics,2.4,0,8,3.0,,N/A,731458
503,Mathematics,2.6,0,8,4.4,,N/A,734095
504,Political,2.1,1,8,4.9,Caring,N/A,779105
505,Materials,4.0,0,8,4.3,,N/A,902564
506,Languages,3.0,1,8,4.5,,N/A,917591
507,Sociology,2.6,0,8,2.3,,N/A,931553
508,Communication,3.5,0,8,2.3,ACCESSIBLE OUTSIDE CLASS,N/A,1040937
509,Family,4.0,0,8,1.9,,N/A,1066214
510,Statistics,4.0,0,8,2.7,,N/A,1077732
511,Philosophy,1.6,1,8,4.9,Get ready to read,N/A,1117926
512,Mathematics,4.1,0,8,2.7,,N/A,1131421
513,Economics,2.8,1,8,4.1,,N/A,1132969
514,Accounting,3.0,1,8,3.8,LECTURE HEAVY,N/A,1135048
515,Economics,4.9,0,8,3.4,Tough Grader,N/A,1161792
516,Geography,3.4,0,8,4.0,Respected,N/A,1175306
517,Undergraduate,2.3,0,8,4.0,Skip class You wont pass,N/A,1188931
518,Physics,3.3,0,8,3.8,,N/A,1201106
519,English,3.1,1,8,3.9,,N/A,1214271
520,Languages,4.0,0,8,3.9,LOTS OF HOMEWORK,N/A,1295168
521,Psychology,3.4,0,8,3.3,Tough Grader,N/A,1311204
522,History,4.0,0,8,3.0,Participation matters,N/A,1330198
523,Ethnic,2.4,0,8,4.7,Hilarious,N/A,1342430
524,Mathematics,3.4,0,8,2.7,,N/A,1349020
525,Chemistry,4.0,0,8,2.2,,N/A,1357879
526,Mathematics,3.0,1,8,4.6,,N/A,1376703
527,Political,3.3,1,8,4.8,Participation matters,N/A,1387264
528,Psychology,3.5,1,8,4.3,Tough Grader,N/A,1502041
529,Communication,4.1,0,8,2.7,Tough Grader,N/A,1511187
530,Communication,3.0,1,8,4.6,Clear grading criteria,N/A,1520728
531,Chemistry,4.4,0,8,2.4,Tough Grader,N/A,1541987
532,Chemistry,3.2,0,8,4.4,Participation matters,N/A,1567814
533,Art,4.9,0,8,1.4,Tough Grader,N/A,1608136
534,Mathematics,3.4,0,8,4.1,,N/A,1638250
535,Computer,4.4,0,8,1.4,Tough Grader,N/A,1640356
536,Art,1.9,0,8,3.4,Gives good feedback,N/A,1651086
537,Mathematics,3.1,0,8,3.0,Caring,N/A,1651939
538,Physics,3.7,0,8,2.4,Tough Grader,20%,1653138
539,Art,2.6,0,8,3.3,,N/A,1663474
540,Art,2.5,1,8,4.8,Gives good feedback,N/A,1668787
541,Economics,2.4,1,8,4.9,,N/A,1673829
542,Mathematics,2.8,1,8,4.5,Respected,N/A,1721209
543,English,2.1,1,8,3.8,Skip class You wont pass,N/A,1775415
544,Chemistry,3.1,0,8,4.6,Caring,100%,1828836
545,Business,2.0,0,8,4.2,Gives good feedback,N/A,1831168
546,Mathematics,2.0,1,8,4.4,Caring,N/A,1851411
547,Mathematics,3.9,0,8,1.7,LOTS OF HOMEWORK,N/A,1863976
548,Mechanical,4.1,0,8,2.9,Get ready to read,N/A,1870668
549,Materials,4.0,0,8,4.0,Tough Grader,N/A,1872999
550,Mathematics,3.5,1,8,4.6,Respected,N/A,1873775
551,Accounting,3.4,0,8,3.4,GROUP PROJECTS,N/A,1895979
552,Economics,4.1,0,8,1.4,Get ready to read,N/A,1897050
553,History,2.5,0,8,4.2,BEWARE OF POP QUIZZES,N/A,1904248
554,Architecture,3.8,1,8,3.4,Participation matters,N/A,1915935
555,Business,3.1,0,8,1.8,Tough Grader,N/A,1938076
556,Mathematics,3.1,1,8,4.3,Caring,N/A,1945448
557,Communication,4.3,1,8,1.9,Tough Grader,N/A,1947394
558,Economics,4.6,0,8,2.3,Tough Grader,N/A,2036511
559,English,3.0,0,8,4.2,Participation matters,N/A,2053070
560,Biology,3.7,1,8,4.4,Caring,88%,2164419
561,Biology,4.2,0,8,2.5,LECTURE HEAVY,17%,1443591
562,Bioengineering,4.4,0,8,1.8,LOTS OF HOMEWORK,N/A,1880772
563,Accounting,3.5,1,8,4.3,Caring,N/A,1967650
564,English,3.3,0,7,1.1,,N/A,133994
565,English,4.7,0,7,3.2,,N/A,205344
566,English,2.9,1,7,4.8,Amazing lectures,N/A,211353
567,Music,3.7,1,7,4.1,Hilarious,N/A,280628
568,Fine,2.1,1,7,4.9,,N/A,285651
569,Social,3.1,0,7,4.4,Respected,N/A,334103
570,Philosophy,2.9,0,7,2.5,,N/A,463897
571,Writing,2.4,1,7,4.4,,N/A,495780
572,Philosophy,3.1,0,7,2.9,Participation matters,N/A,639440
573,Philosophy,3.6,0,7,2.9,,N/A,671517
574,History,2.1,0,7,2.6,,N/A,671566
575,Film,2.9,0,7,3.5,Participation matters,N/A,702079
576,History,3.6,0,7,4.0,Participation matters,N/A,745796
577,Languages,4.3,0,7,1.8,,N/A,748021
578,Languages,3.1,1,7,4.9,,N/A,795596
579,Communication,2.0,1,7,4.9,Gives good feedback,N/A,796281
580,Political,3.3,0,7,3.9,,N/A,826710
581,Communication,3.6,1,7,3.8,Tough Grader,N/A,836064
582,Computer,2.6,0,7,4.4,LOTS OF HOMEWORK,N/A,836648
583,Family,3.2,0,7,4.4,Get ready to read,N/A,867140
584,Music,4.0,1,7,4.4,,N/A,941337
585,Political,3.7,1,7,4.8,,N/A,1009626
586,Communication,3.1,1,7,4.7,EXTRA CREDIT,N/A,1024045
587,Sociology,3.4,0,7,4.0,,N/A,1069422
588,English,3.4,0,7,3.5,Get ready to read,N/A,1087732
589,Mathematics,2.1,1,7,4.9,,N/A,1094734
590,Psychology,3.1,0,7,2.2,,N/A,1170176
591,Social,1.7,1,7,5.0,Amazing lectures,N/A,1196394
592,Mathematics,3.9,1,7,3.3,Tough Grader,N/A,1231597
593,Management,3.4,0,7,3.5,Skip class You wont pass,N/A,1244682
594,Mathematics,2.7,0,7,2.1,,N/A,1285912
595,Music,2.6,1,7,4.9,Inspirational,N/A,1337665
596,Chemistry,4.3,0,7,1.9,,N/A,1349023
597,Economics,3.9,1,7,2.7,Skip class You wont pass,N/A,1357146
598,Economics,2.6,1,7,4.1,,N/A,1362439
599,Chemistry,3.1,0,7,2.6,Get ready to read,N/A,1431627
600,Economics,2.7,0,7,3.5,Caring,N/A,1446416
601,English,4.0,0,7,3.0,Tough Grader,N/A,1495006
602,Mathematics,3.1,1,7,3.9,,N/A,1507423
603,Statistics,2.7,1,7,4.7,,N/A,1510664
604,Gender,2.0,1,7,4.9,,N/A,1522739
605,Mathematics,2.3,1,7,4.8,,N/A,1527294
606,Mechanical,3.1,1,7,4.4,Tough Grader,N/A,1549249
607,Physics,3.3,0,7,2.7,Participation matters,N/A,1567741
608,Mechanical,3.9,0,7,4.1,Skip class You wont pass,N/A,1572613
609,Educational,1.8,0,7,4.9,Get ready to read,N/A,1608510
610,Mathematics,4.6,0,7,2.3,Tough Grader,N/A,1628223
611,Political,1.9,0,7,2.7,,N/A,1659520
612,Mathematics,3.3,0,7,3.8,,N/A,1689881
613,Mathematics,2.9,0,7,3.1,,N/A,1710303
614,Finance,3.0,0,7,3.3,Skip class You wont pass,N/A,1727663
615,Political,1.3,1,7,4.9,Caring,N/A,1730937
616,Communication,2.7,0,7,3.9,Skip class You wont pass,N/A,1739515
617,Music,2.4,0,7,4.7,Gives good feedback,N/A,1740560
618,History,3.7,0,7,2.6,,N/A,1752321
619,Communication,2.4,1,7,4.9,Respected,N/A,1774860
620,Health,1.7,0,7,4.4,LOTS OF HOMEWORK,N/A,1783292
621,Health,1.4,1,7,5.0,Amazing lectures,N/A,1788597
622,Communication,3.6,0,7,5.0,Gives good feedback,N/A,1803948
623,Psychology,2.7,0,7,3.4,GROUP PROJECTS,N/A,1812691
624,Philosophy,3.3,0,7,2.6,Get ready to read,N/A,1822349
625,Linguistics,2.7,0,7,4.5,Participation matters,N/A,1833002
626,Communication,4.0,0,7,2.4,Skip class You wont pass,N/A,1869362
627,Business,2.7,0,7,3.5,Participation matters,N/A,1869925
628,Geography,2.1,1,7,4.5,Gives good feedback,N/A,1893575
629,Business,3.3,1,7,4.1,Get ready to read,N/A,1910838
630,Exercise,1.7,0,7,4.6,Participation matters,N/A,1926422
631,Economics,2.1,0,7,4.4,EXTRA CREDIT,N/A,1969221
632,Business,3.6,0,7,2.5,Tough Grader,N/A,1969265
633,Art,1.4,0,7,3.5,Participation matters,N/A,1974180
634,Statistics,3.9,0,7,1.8,Skip class You wont pass,N/A,2003432
635,Chemistry,4.1,0,7,2.3,Tough Grader,N/A,2046949
636,Political,2.6,1,7,4.4,Inspirational,N/A,2066938
637,Mechanical,2.7,1,7,4.9,Respected,N/A,2093787
638,Materials,2.1,1,7,3.5,GROUP PROJECTS,57%,2133444
639,Biology,3.6,1,7,4.4,Get ready to read,100%,2213588
640,Mathematics,5.0,0,7,1.6,Tough Grader,14%,2198099
641,Mathematics,3.7,0,7,2.4,LOTS OF HOMEWORK,N/A,1990826
642,Biology,3.3,1,6,4.4,,N/A,111426
643,Women's,3.0,1,6,5.0,,N/A,149945
644,Communication,2.2,0,6,4.0,,N/A,250481
645,Political,2.8,0,6,3.6,Caring,N/A,251397
646,History,4.0,0,6,1.5,,N/A,261236
647,History,3.5,1,6,4.8,,N/A,261662
648,History,3.3,0,6,4.3,LOTS OF HOMEWORK,N/A,261669
649,Education,1.2,0,6,5.0,,N/A,261685
650,Accounting,3.3,0,6,4.0,Tough Grader,N/A,262213
651,Management,2.3,1,6,3.0,Tough Grader,N/A,342966
652,Communication,2.7,1,6,4.5,,N/A,376899
653,Management,2.8,0,6,3.2,,N/A,402815
654,Writing,2.5,1,6,5.0,,N/A,405474
655,Writing,3.0,0,6,3.7,,N/A,405475
656,Sociology,4.5,1,6,3.8,,N/A,408145
657,Humanities,3.3,0,6,1.8,,N/A,449527
658,Mathematics,3.2,1,6,3.3,,N/A,465230
659,English,3.8,0,6,2.3,,N/A,519830
660,Social,2.8,0,6,3.5,,N/A,521221
661,Computer,2.7,0,6,4.3,,N/A,536005
662,Mathematics,3.0,1,6,3.9,Clear grading criteria,N/A,604121
663,Mathematics,3.3,0,6,2.5,,N/A,607242
664,Theater,3.3,0,6,3.8,,N/A,608567
665,Computer,3.3,0,6,3.0,,N/A,608776
666,Physics,1.5,0,6,3.3,,N/A,618564
667,Psychology,2.5,1,6,5.0,Clear grading criteria,N/A,640283
668,Theater,1.8,0,6,4.7,,N/A,656703
669,Art,2.0,0,6,2.1,,N/A,676399
670,Psychology,2.5,1,6,4.9,,N/A,681505
671,Fine,4.3,0,6,2.7,,N/A,683081
672,Linguistics,3.8,0,6,3.1,,N/A,683807
673,Architecture,4.7,0,6,3.6,Participation matters,N/A,691187
674,Psychology,4.3,0,6,2.6,Amazing lectures,N/A,691805
675,Music,2.2,0,6,4.4,Inspirational,N/A,691971
676,Health,2.7,0,6,4.6,Hilarious,N/A,733928
677,History,3.7,1,6,4.4,Get ready to read,N/A,768960
678,Mathematics,3.2,0,6,1.7,,N/A,789237
679,Communication,3.8,0,6,2.3,,N/A,823449
680,Gender,2.5,1,6,4.5,,N/A,872520
681,Languages,3.5,0,6,3.1,Amazing lectures,N/A,904474
682,Art,3.0,0,6,3.3,,N/A,922874
683,Economics,4.0,0,6,2.4,,N/A,930488
684,Ethnic,3.7,0,6,2.3,,N/A,934383
685,Family,2.3,0,6,3.3,Gives good feedback,N/A,936536
686,Business,3.0,0,6,2.6,,N/A,975224
687,Communication,3.3,0,6,4.2,Skip class You wont pass,N/A,981763
688,History,4.8,0,6,1.9,Tough Grader,N/A,1034558
689,Mathematics,2.8,1,6,4.5,,N/A,1047073
690,Writing,1.8,0,6,4.9,Hilarious,N/A,1076636
691,Accounting,4.3,0,6,2.3,Tough Grader,N/A,1088742
692,Management,3.2,0,6,3.0,Tough Grader,N/A,1167355
693,Communication,3.8,0,6,1.9,,N/A,1181802
694,Social,4.8,0,6,2.7,,N/A,1182144
695,English,3.8,0,6,4.3,Tough Grader,N/A,1194668
696,Political,3.5,0,6,4.0,Get ready to read,N/A,1210899
697,Engineering,3.2,0,6,1.6,,N/A,1232184
698,English,1.7,1,6,5.0,Amazing lectures,N/A,1274132
699,Geography,2.8,1,6,4.7,Participation matters,N/A,1291435
700,Languages,3.3,1,6,4.2,Tough Grader,N/A,1295171
701,Communication,2.7,1,6,4.8,,N/A,1339424
702,Mathematics,3.2,0,6,3.5,,N/A,1411521
703,Music,3.0,1,6,4.8,Inspirational,N/A,1453480
704,Marketing,3.8,0,6,3.8,Respected,N/A,1467627
705,Art,2.7,0,6,3.8,LECTURE HEAVY,N/A,1486165
706,Exercise,2.5,1,6,3.8,Tough Grader,N/A,1511058
707,Languages,3.3,1,6,3.9,Participation matters,N/A,1511387
708,Economics,2.7,0,6,4.0,,N/A,1515769
709,Physics,4.2,0,6,2.1,LECTURE HEAVY,N/A,1567749
710,Mathematics,4.0,1,6,4.2,Hilarious,N/A,1568483
711,Mathematics,2.3,1,6,3.9,Respected,N/A,1572619
712,Meteorology,2.8,0,6,2.9,BEWARE OF POP QUIZZES,N/A,1572722
713,Mechanical,4.2,0,6,2.8,,N/A,1636479
714,English,1.8,1,6,4.3,,N/A,1650943
715,Business,4.5,0,6,2.8,,N/A,1651525
716,Art,2.3,1,6,4.0,LOTS OF HOMEWORK,N/A,1661805
717,Philosophy,4.7,0,6,2.3,Tough Grader,N/A,1666582
718,Mathematics,4.3,0,6,3.3,Caring,N/A,1683427
719,Business,1.8,0,6,3.1,LECTURE HEAVY,N/A,1712822
720,Philosophy,3.5,0,6,3.7,,N/A,1716123
721,Biology,3.5,0,6,3.5,LECTURE HEAVY,N/A,1743262
722,Biology,3.3,0,6,2.5,Participation matters,N/A,1754265
723,Writing,4.8,0,6,1.3,,N/A,1755975
724,Communication,2.8,1,6,4.8,,N/A,1756703
725,Linguistics,3.2,0,6,2.3,GROUP PROJECTS,N/A,1769611
726,Communication,2.5,0,6,3.9,Hilarious,N/A,1775506
727,Psychology,2.2,1,6,3.8,Clear grading criteria,N/A,1780674
728,Film,3.7,0,6,4.6,Respected,N/A,1783704
729,Mechanical,3.0,1,6,4.9,Amazing lectures,N/A,1787779
730,Mathematics,3.5,1,6,3.6,Hilarious,N/A,1795703
731,Sociology,3.3,0,6,1.6,Get ready to read,N/A,1796901
732,Finance,2.3,0,6,3.1,LOTS OF HOMEWORK,N/A,1803940
733,Physical,4.5,0,6,2.2,Tough Grader,N/A,1804061
734,Bioengineering,3.2,0,6,2.9,GROUP PROJECTS,N/A,1808781
735,English,1.5,1,6,4.9,Gives good feedback,N/A,1810659
736,Biology,3.7,0,6,3.3,Participation matters,N/A,1812114
737,Business,2.3,0,6,2.3,Skip class You wont pass,N/A,1836700
738,Sociology,3.7,0,6,2.0,Tough Grader,N/A,1840482
739,Political,2.5,1,6,4.3,Get ready to read,N/A,1840724
740,Mathematics,4.0,0,6,2.5,Tough Grader,N/A,1846427
741,Mathematics,2.7,0,6,3.3,Skip class You wont pass,N/A,1851361
742,English,2.5,0,6,4.8,Hilarious,N/A,1851764
743,Exercise,4.2,0,6,1.3,Tough Grader,N/A,1851959
744,Linguistics,2.8,1,6,5.0,Gives good feedback,N/A,1863265
745,Psychology,3.5,1,6,3.9,Tough Grader,N/A,1864760
746,Science,4.0,0,6,1.4,Tough Grader,N/A,1868068
747,Music,2.0,0,6,3.9,Gives good feedback,N/A,1870989
748,Communication,4.0,0,6,1.8,Tough Grader,N/A,1871061
749,Exercise,2.8,0,6,4.3,Tough Grader,N/A,1903264
750,Business,3.5,0,6,3.4,LECTURE HEAVY,N/A,1904516
751,Accounting,3.7,0,6,2.5,Gives good feedback,N/A,1909111
752,Philosophy,4.2,1,6,4.0,LECTURE HEAVY,N/A,1913494
753,Communication,2.0,0,6,4.7,Respected,N/A,1913888
754,Health,2.0,0,6,4.8,Gives good feedback,N/A,1914318
755,Writing,2.3,0,6,2.1,LECTURE HEAVY,N/A,1920857
756,Languages,2.5,0,6,4.8,Gives good feedback,N/A,1950967
757,Finance,3.2,0,6,3.0,Tough Grader,N/A,1965180
758,Education,2.0,0,6,4.4,Gives good feedback,N/A,1968999
759,Writing,3.3,0,6,4.7,Gives good feedback,N/A,1980757
760,Asian,3.5,0,6,3.4,Get ready to read,N/A,2009915
761,Finance,2.7,1,6,4.7,Caring,N/A,2015787
762,Biology,3.8,0,6,3.3,Tough Grader,N/A,2028844
763,Science,4.5,0,6,2.0,Tough Grader,N/A,2041213
764,Art,3.8,1,6,4.9,Get ready to read,80%,2046451
765,Science,3.7,0,6,2.4,Tough Grader,N/A,2084996
766,Mathematics,3.5,1,6,4.9,Caring,N/A,2097335
767,Music,2.2,0,6,4.0,Clear grading criteria,N/A,2118925
768,Finance,3.0,1,6,4.9,Hilarious,N/A,2134295
769,Economics,4.7,0,6,1.0,GRADED BY FEW THINGS,N/A,2161260
770,History,3.0,0,6,2.7,EXTRA CREDIT,20%,2129781
771,Psychology,2.8,0,6,4.7,Inspirational,N/A,936537
772,Communication,2.3,0,6,3.8,Clear grading criteria,N/A,1718764
773,Business,4.3,0,6,2.8,Tough Grader,N/A,1429693
774,Geology,2.3,0,6,3.0,Tough Grader,N/A,1751323
775,Linguistics,4.7,0,6,2.1,Tough Grader,N/A,1083414
776,Psychology,3.0,0,6,2.7,Tough Grader,33%,2205325
777,Engineering,4.6,0,5,2.2,Tough Grader,N/A,131612
778,Park,3.0,1,5,3.7,,N/A,134201
779,Political,3.8,0,5,4.0,,N/A,217326
780,Languages,2.6,1,5,4.2,,N/A,261076
781,Languages,3.6,1,5,4.8,,N/A,261079
782,Education,3.0,1,5,2.4,,N/A,261675
783,Economics,3.2,1,5,4.9,,N/A,262357
784,Music,2.0,0,5,4.7,,N/A,280625
785,Computer,3.8,0,5,4.4,Get ready to read,N/A,284779
786,Communication,2.6,0,5,4.1,,N/A,391736
787,Theater,2.8,0,5,4.8,BEWARE OF POP QUIZZES,N/A,393171
788,English,2.8,1,5,4.8,,N/A,463889
789,Sociology,2.0,1,5,4.8,,N/A,490811
790,Education,3.4,0,5,3.2,,N/A,490840
791,Anthropology,4.6,0,5,3.9,Tough Grader,N/A,491741
792,Asian,3.2,0,5,3.7,,N/A,506283
793,Mathematics,3.8,1,5,3.5,,N/A,523882
794,Geology,3.2,0,5,4.3,,N/A,523896
795,Mathematics,2.8,0,5,2.7,,N/A,523909
796,Languages,3.8,0,5,3.8,,N/A,534018
797,Communication,3.6,1,5,3.6,,N/A,606736
798,Chemistry,3.2,0,5,3.5,Participation matters,N/A,647122
799,Writing,3.6,0,5,3.9,,N/A,655610
800,Humanities,3.2,1,5,4.8,,N/A,661701
801,Psychology,1.6,0,5,4.9,,N/A,689026
802,Health,2.4,0,5,4.8,,N/A,690680
803,Park,3.8,1,5,4.3,,N/A,716890
804,Engineering,4.2,0,5,2.6,Tough Grader,N/A,717400
805,Mathematics,2.8,1,5,4.3,,N/A,757497
806,Computer,2.6,1,5,4.9,Tough Grader,N/A,762698
807,Dance,2.2,1,5,3.1,,N/A,830088
808,Art,2.4,0,5,4.2,Skip class You wont pass,N/A,837552
809,Psychology,4.6,1,5,4.0,,N/A,841086
810,Communication,2.4,0,5,4.3,,N/A,853780
811,Psychology,2.4,0,5,4.7,,N/A,857488
812,Mathematics,3.4,0,5,2.6,,N/A,881378
813,Mathematics,3.4,1,5,3.5,,N/A,928128
814,Mining,1.8,0,5,4.9,,N/A,947351
815,Chemistry,4.4,0,5,1.7,,N/A,1009883
816,Art,2.4,0,5,3.3,,N/A,1054733
817,Writing,2.6,0,5,2.8,,N/A,1055856
818,Fine,2.2,0,5,5.0,Amazing lectures,N/A,1075961
819,Accounting,3.6,0,5,4.2,,N/A,1088728
820,History,2.8,1,5,4.9,Clear grading criteria,N/A,1106120
821,Management,2.4,0,5,4.0,,N/A,1167358
822,Management,3.4,0,5,4.3,Skip class You wont pass,N/A,1167366
823,TA,2.8,0,5,4.2,,N/A,1172969
824,Art,4.0,1,5,4.1,Skip class You wont pass,N/A,1183762
825,Engineering,3.2,0,5,2.9,Tough Grader,N/A,1228169
826,Mathematics,3.6,0,5,3.0,,N/A,1242627
827,Film,3.6,0,5,2.2,Tough Grader,N/A,1244715
828,Accounting,4.2,1,5,4.4,,N/A,1247451
829,Mechanical,2.6,0,5,3.4,,N/A,1266060
830,Communication,3.2,1,5,4.5,,N/A,1306184
831,Economics,2.6,0,5,2.9,,N/A,1306735
832,Linguistics,3.2,0,5,2.4,Participation matters,N/A,1349565
833,Economics,3.2,0,5,4.3,,N/A,1353196
834,Economics,2.4,1,5,3.5,,N/A,1390752
835,Philosophy,2.6,0,5,3.4,Tough Grader,N/A,1394807
836,Writing,2.6,0,5,4.5,,N/A,1400040
837,Family,3.0,0,5,4.6,Tough Grader,N/A,1417762
838,Accounting,3.2,0,5,3.4,Tough Grader,N/A,1425503
839,Mathematics,4.0,0,5,3.8,,N/A,1439249
840,Marketing,3.4,0,5,2.9,,N/A,1441603
841,Economics,3.4,0,5,4.8,,N/A,1446982
842,Economics,1.4,0,5,2.9,Participation matters,N/A,1446985
843,Communication,1.8,0,5,5.0,,N/A,1447224
844,Economics,3.0,1,5,4.0,,N/A,1447933
845,Mathematics,4.2,0,5,2.4,,N/A,1472240
846,Political,4.0,1,5,2.2,GROUP PROJECTS,N/A,1481525
847,Film,1.8,0,5,3.1,Hilarious,N/A,1483917
848,Writing,2.2,0,5,3.3,,N/A,1487259
849,Mathematics,2.0,1,5,4.1,,N/A,1494834
850,Film,2.0,0,5,4.1,Clear grading criteria,N/A,1518727
851,Communication,4.4,0,5,2.7,,N/A,1560597
852,Physics,2.8,0,5,3.1,Gives good feedback,N/A,1567745
853,Writing,1.8,0,5,5.0,Caring,N/A,1638511
854,Languages,3.0,0,5,4.2,,N/A,1644988
855,Communication,2.8,0,5,4.2,Hilarious,N/A,1645329
856,Communication,4.0,0,5,3.4,Amazing lectures,N/A,1646940
857,Writing,2.8,0,5,5.0,Gives good feedback,N/A,1659101
858,Family,2.6,0,5,2.6,LOTS OF HOMEWORK,N/A,1677145
859,Languages,3.8,0,5,4.2,Get ready to read,N/A,1678164
860,Political,3.2,0,5,3.1,Participation matters,N/A,1680324
861,Communication,2.0,0,5,5.0,,N/A,1688898
862,Communication,3.8,1,5,4.7,,N/A,1702686
863,History,2.8,0,5,4.6,,N/A,1713074
864,Special,3.6,0,5,4.3,Gives good feedback,N/A,1713504
865,Art,2.6,0,5,4.7,LOTS OF HOMEWORK,N/A,1716011
866,Psychology,3.0,1,5,4.4,Participation matters,N/A,1725508
867,Mathematics,1.6,0,5,4.0,,N/A,1733118
868,Mathematics,4.2,0,5,3.0,,N/A,1734619
869,Not,2.6,1,5,4.2,,N/A,1736283
870,Business,3.4,1,5,4.5,Skip class You wont pass,N/A,1737375
871,English,3.4,0,5,4.5,,N/A,1738860
872,Psychology,2.4,1,5,4.9,,N/A,1744601
873,Dance,1.6,0,5,4.3,Participation matters,N/A,1751243
874,Mathematics,3.0,0,5,3.1,,N/A,1771732
875,English,2.6,0,5,3.6,Participation matters,N/A,1776173
876,Economics,2.0,0,5,3.0,,N/A,1778689
877,Writing,3.2,0,5,3.8,LOTS OF HOMEWORK,N/A,1778952
878,Film,2.4,0,5,4.3,Hilarious,N/A,1783696
879,Mathematics,3.6,1,5,3.5,Skip class You wont pass,N/A,1792409
